Position,Chapter,Track Name,Artist,BPM,Key,Duration,Seed
1,,Telescope,Hiatus Kaiyote,127,,4:46,
2,,mirror,Luna Li,,,1:01,
3,,Aay Mere Dil,"Babla, Kanchan",163,,6:20,
4,,On the Cusp of Enlightenment,Lapgan,172,,1:29,
5,,Riyaaz,"Baalti, Lapgan",,,3:27,
6,,File Select 64,Nostalgicore,,,1:06,
7,,exhaust,Earl Sweatshirt,,,2:30,
8,,In The Fire,Freedom Attic,,,4:22,
9,,Digestives,Lapgan,152,,1:43,
10,,Baa Illi,Lapgan,,,2:15,
11,,dnthesitate,Knxwledge,169,,1:08,
12,,Any Colour You Like,Pink Floyd,,,3:27,
13,,THE FROG SONG,Machinedrum,,,6:34,
14,,Romance,"Baalti, Lapgan",,,1:22,
15,,Holy,Lapgan,91,,2:09,
16,,HALCYON + ON + ON,Orbital,,,9:28,
17,,time&tide,Knxwledge,,,0:47,
18,,Mughal Shit,Lapgan,,,1:04,
19,,Duniya Kya Hai,Lapgan,83,,1:03,
20,,Lime Tikka,"Baalti, Lapgan",,,3:48,
21,,T'Raenon (Original Mix),Photek,,,7:18,
22,,Hold Tight,Jamie xx,,,4:04,
23,,"Goodbye, Goodbye",µ-Ziq,130,,4:07,
24,,Dillatronic 35,J Dilla,,,1:49,
25,,Coolin Out,LTJ Bukem,,,5:12,
26,,Eternal Loop,Sam Gendel,,,4:45,
27,,We Are the Music Makers,Aphex Twin,,,7:44,
28,,Waves,J Dilla,,,1:39,
29,,Parallel Jalebi,Four Tet,133,,3:53,
30,,You Are Loved,Four Tet,121,,6:08,
31,,My Haveli Is Your Haveli,Lapgan,92,,1:21,
32,,Gliding Through Everything,Four Tet,85,,4:08,
33,,Someone Close,Floating Points,88,,8:12,
34,,Astral Traveling,Pharoah Sanders,131,,5:50,
35,,MmmHmm (feat. Thundercat),Flying Lotus,,,4:15,
36,,Keep Looking,Sade,94,,5:21,
37,,good time,Jai Paul,,,0:28,
38,,Fresh,Daft Punk,,,4:05,
39,,Moja Bhari Moja,Rupa,,,8:17,
40,,Ice Cream & Syrup,Remarc,165,,5:52,
41,,A Hymn,Khruangbin,124,,3:10,
42,,Khayal,Kazdoura,80,,3:26,
43,,Robes (Instrumental),"Freddie Gibbs, Madlib",84,,3:27,
44,,Sutphin Boulevard,Blood Orange,,,3:35,
45,,Atomic Peace,Alice Coltrane,,,5:57,
46,,Continuum 3,Nala Sinephro,,,4:08,
47,,Ribbons,Four Tet,132,,5:22,
48,,smile around the face,Four Tet,,,4:35,
49,,Weird Fishes / Arpeggi,Radiohead,153,,5:18,
50,,Summer In The City,Quincy Jones,81,,4:04,
51,,Pool of Life,Anysia Kym,,,3:38,
52,,Crime Pays (Instrumental),"Freddie Gibbs, Madlib",147,,3:02,
53,,Green,Four Tet,128,,3:48,
54,,? (Instrumental),MF DOOM,,,2:38,
55,,Romantics,Four Tet,134,,4:57,
56,,So[Rt],Knxwledge,,,2:25,
57,,vaga,Sparklmami,,,0:50,
58,,quikk,"Earl Sweatshirt, SURF GANG",,,2:03,
59,,Voyager,Daft Punk,,,3:48,
60,,Roundabouts,SML,,,24:35,
61,,sea of cloud,Nujabes,104,,3:01,
62,,You Retreat In Time And Space,Boards of Canada,,,5:26,
63,,Love Demons,Peter Cat Recording Co.,,,5:43,
64,,Nova,"Burial, Four Tet",128,,5:42,
65,,Gonna Luv You,Omar S,,,6:01,
66,,La femme d'argent,Air,160,,7:06,
67,,Practice (Instrumental),"Freddie Gibbs, Madlib",,,2:48,
68,,Holy Hell (Instrumental),The Alchemist,,,3:11,
69,,Aaaannnnteeeeennnaaaaaa,"HYUKOH, Sunset Rollercoaster",,,?,
70,,Harvest Time,Pharoah Sanders,79,,20:24,
71,,Using What You Got,Flying Lotus,,,1:06,
72,,Movement 10 - Her Gift,"Floating Points, Miriam Adefris",,,5:37,
73,,Mystic Brew,Ronnie Foster,,,4:10,
74,,Talk About It,Acopia,,,3:58,
75,,Sourire,Les Nubians,,,2:38,
76,,FIND YOUR WINGS (Instrumental),"Tyler, The Creator",75,,2:59,
77,,Mama Teaches Sanskrit,Four Tet,128,,4:24,
78,,Flutter,Bonobo,,,4:45,
79,,Magic Spells,Crystal Castles,,,6:07,
80,,So Far To Go (Instrumental),J Dilla,90,,5:36,
81,,L'Amour Pour Bouclier,Elaine Kibaro,,,4:19,
82,,The Heart Wants a Heart,Anish Kumar,123,,3:48,
83,,Puff Lah,KAYTRANADA,,,1:54,
84,,Revolution 909,Daft Punk,127,,5:35,
85,,Astral Traveling,"Lonnie Liston Smith, The Cosmic Echoes",113,,5:28,
86,,Taste (Instrumental),KAYTRANADA,,,3:13,
87,,FEEL,Hiroshi Yoshimura,81,,4:33,
88,,Shit I'm Dreaming,Peter Cat Recording Co.,,,6:23,
89,,The Percocet & Stripper Joint,Future,80,,2:28,
90,,Brasilian Skies,Masayoshi Takanaka,,,5:54,
91,,Vishnu,Peter Cat Recording Co.,108,,4:26,
92,,Two Can Win,J Dilla,185,,1:47,
93,,Flim,Aphex Twin,,,2:58,
94,,Summer Gypsy,Nujabes,109,,4:19,
95,,Olson,Boards of Canada,170,,1:31,
96,,Bless (Instrumental),The Alchemist,,,3:00,
97,,Time: The Donut of the Heart,J Dilla,,,1:39,
98,,Actium,Aphex Twin,,,7:35,
99,,I Can See,Nick Hakim,,,5:45,
100,,ItsNotREEAALLLLLLL,"Fred again.., Duoteque, Orion Sun",,,5:28,
101,,Happiness,Peter Cat Recording Co.,,,3:44,
102,,Not Screwed! (interlude),Solange,86,,0:23,
103,,New House,Toro y Moi,60,,2:30,
104,,flowers,Nujabes,,,4:00,
