artist,aliases,channel,samay,desi,vibes,bpm_low,bpm_high,pillar,pillar_v2,zone,desi_bool
A$AP Rocky,,Rap,Night,Non-Desi,Nodders|Rowdy|Trap,68,208,3 Desi Uptempo|5 Trivia Crowd,Crowdlaad,,false
AP Dhillon,,Rap,Night,Desi,Rowdy|Pop|Percussive,77,172,2 Desi Lofi|3 Desi Uptempo,Crowdlaad,,true
Action Bronson,,Rap,Day,Non-Desi,Rowdy|Groove|Nodders,71,166,,Traplaad,,false
Chance the Rapper,Chance The Rapper,Rap,Day,Non-Desi,Soulful|Groove|Pop,55,180,,Crowdlaad,,false
Clams Casino,,Rap,Night,Non-Desi,Trap|Dark|Nodders,85,183,,Traplaad,,false
Curren$y,,Rap,Day/Night,Non-Desi,Nodders|Groove|Boom Bap,71,179,5 Trivia Crowd,Crowdlaad,,false
Danny Brown,,Rap,Night,Non-Desi,Rowdy|Dark|Nodders|Electronica,84,165,,Traplaad,,false
Das Racist,Heems,Rap,Day,Desi,Rowdy|Nodders,70,186,2 Desi Lofi|3 Desi Uptempo,Traplaad,,true
Father,,Rap,Night,Non-Desi,Dark|Rowdy|Trap,75,160,5 Trivia Crowd,Traplaad,,false
Forgotten,,Rap,Night,Non-Desi,Dark|Rowdy,75,160,,Traplaad,,false
Freddie Gibbs,,Rap,Day/Night,Non-Desi,Nodders|Groove|Boom Bap,56,180,,Traplaad,,false
Future,,Rap,Night,Non-Desi,Trap|Dark|Nodders,75,180,5 Trivia Crowd,Traplaad,,false
Gucci Mane,,Rap,Night,Non-Desi,Trap|Rowdy|Groove,75,174,5 Trivia Crowd,Traplaad,,false
Gunda,,Rap,Night,Desi,Rowdy|Bass|Nodders,79,145,,Traplaad,,true
Gunna,,Rap,Night,Non-Desi,Trap|Nodders|Pop,78,157,5 Trivia Crowd,Traplaad,,false
Heems,,Rap,Day,Desi,Nodders|Groove,70,178,2 Desi Lofi|3 Desi Uptempo,Traplaad,,true
ICYTWAT,,Rap,Day/Night,Non-Desi,Trap|Dark|Nodders,76,160,,Traplaad,,false
Kanye West,,Rap,Day/Night,Non-Desi,Nodders|Soulful|Groove|Trap,67,191,,Traplaad,,false
Kenny Beats,,Rap,Day,Non-Desi,Groove|Future Beats|Trap|Boom Bap,81,180,5 Trivia Crowd,Soullaad,beats,false
Knxwledge,Knxledge,Rap,Day/Night,Non-Desi,Nodders|Groove|Boom Bap,76,170,1 Mellow,Soullaad,beats,false
Kodak Black,,Rap,Night,Non-Desi,Trap|Rowdy|Groove,70,177,,Traplaad,,false
