Track Name,Artist,Album,Tempo,Duration,Video ID
High on Love,1 Plus One,Runaway Lover,,4:12,3ZxZ9uldTZk
Oho Endhan Baby,A. M. Rajah,,,3:57,blVwxryFjIY
Aila Aila,A. R. Rahman,,,5:34,_a-t7bZYqGg
Anbay,A. R. Rahman,,,5:42,KxjiPgpVkqc
Anbil Avan,A. R. Rahman,,,4:12,XU6wuDyTQ8k
Aye Sinamika,A. R. Rahman,,,6:31,AlUjKp2gyxY
Azhagiye,A. R. Rahman,,,3:45,uLLDYV6j40k
"Azhagiye (From ""Kaatru Veliyidai"")",A. R. Rahman,,,3:45,It2wAAi6SvA
"Endhira Logathu Sundariye (From ""2. 0"")",A. R. Rahman,,,5:30,nICaIiDcJ50
Kurukku Chiruthavale,A. R. Rahman,,,6:42,gSFq4AAmAW8
"Maacho (From ""Mersal"")",A. R. Rahman,,,4:36,DWgeOXD5vec
Mental Manadhil (Female),A. R. Rahman,,,3:14,Lh1SyGuuVY4
Mersalaayitten,A. R. Rahman,,,5:04,35E4DKnXXCg
Minsara Kanna,A. R. Rahman,,,6:14,rjC-YR2aeKQ
Moongil Thottam,A. R. Rahman,,,4:36,8jUbbUlG-jI
Mustafaa Mustafaa,A. R. Rahman,,,6:07,aH2VAnvUaaU
Muzhumathi,A. R. Rahman,,,5:13,e4E01E-Q2Gk
"Nallai Allai (From ""Kaatru Veliyidai"")",A. R. Rahman,,,4:00,O08Os0JOQto
"Neethanae (From ""Mersal"")",A. R. Rahman,,,4:29,73vCDaJ3upY
Netru Illatha Maatram,A. R. Rahman,,,5:10,OBIIEy6tTa4
New York Nagaram,A. R. Rahman,,,6:19,3aQ9TjCrpgQ
"O Kadhale (From ""Kaadhal Virus"")",A. R. Rahman,,,6:15,I7_OmTeLC8M
Omana Penne,A. R. Rahman,,,5:33,gaKiDGp3r2Q
Paarkaadhey Oru Madhiri,A. R. Rahman,,,4:19,m0aQMnql25A
Parandhu Sella Vaa,A. R. Rahman,,,4:52,0287S-sVYM0
Poo Pookkum Osai Adhai,A. R. Rahman,,,6:45,bZRVr3v7nSU
Pookkalae Sattru Oyivedungal,A. R. Rahman,,,5:09,FAYx9JbtHRc
Poyisonna Posikiduven,A. R. Rahman,,,5:26,1Abr7utMjL4
"Raajali (From ""2. 0"")",A. R. Rahman,,,4:11,BPPE2hXb4DI
Sandhippoma,A. R. Rahman,,,5:36,kr9iXY3-bIg
The Boss,A. R. Rahman,,,3:17,uXPFMANE-0k
Theme Music 2,A. R. Rahman,,,2:13,Zg-F6DzlJnU
Urvashi Urvashi,A. R. Rahman,,,5:42,QvwDmePaRiU
Vaan Nila,A. R. Rahman,,,6:03,v7nUHnhKqmU
"Varaha Nadhikarai (From ""Sangamam"")",A. R. Rahman,,,6:19,OiqEYn1tvFU
Vennilave Vennilave Vinnai,A. R. Rahman,,,5:52,cjeetK3Q84Q
Vinnaithaandi Varuvaayaa,A. R. Rahman,,,3:13,0Pbfd80JcAI
"Saarattu Vandiyila (From ""Kaatru Veliyidai"")",A. R. Reihana,,,4:52,ohTp4kGjZ1Q
Oh Raaya,"A.R. Rahman, Ganavya, & Dhanush",Raayan (Original Motion Picture Soundtrack),,3:28,QyEdtZyYEfA
Marudaani,"A.R. Rahman, Madhushree, Hentry Kuruvila, and Vaali",Sakkarakatti (Original Motion Picture Soundtrack),,6:28,RKZNPx-K1AA
Ennodu Nee Irundhaal,"A.R. Rahman, Sid Sriram, Sunitha Sarathy, and Kabilan",I (Original Motion Picture Soundtrack),,5:53,_9r0-yosPF8
En Mel Vizhunda,"A.R. Rahman, Vairamuthu, P. Jayachandran, and K. S. Chithra",May Maadham (Original Motion Picture Soundtrack),,5:03,dHV744VXD2U
Innum Konjam Neram,"A.R. Rahman, Vijay Prakash, Shweta Mohan, and Kabilan",Maryan (Original Motion Picture Soundtrack),,5:14,-zY2eMZwkdo
"Aaruyire (From ""Guru"")",A.R. Rahman;Chinmayi;Murtuza Khan;Qadir Khan,Best of A.R. Rahman (Tamil),143.856,5:09,lSrFbLK8NHs
Mental Manadhil,A.R. Rahman;Jonita Gandhi;Mani Ratnam,O Kadhal Kanmani (Original Motion Picture Soundtrack),160.054,3:25,T8HvXDRAeVc
Malargal Kaettaen,A.R. Rahman;K. S. Chithra,O Kadhal Kanmani (Original Motion Picture Soundtrack),167.529,5:54,PkocselE4Bs
Usure Pogudhey,A.R. Rahman;Karthik;Vairamuthu,Raavanan (Original Motion Picture Soundtrack),92.997,6:06,Xy6oBDZMyig
CEO in the House,A.R. Rahman;Nakul Abhyankar;Blaaze,Sarkar (Tamil) [Original Motion Picture Soundtrack],150.08,3:52,XLbjnXq3IL4
Kannukkul Kannai,A.R. Rahman;Naresh Iyer,Vinnaithaandi Varuvaayaa (Original Motion Picture Soundtrack),129.994,3:52,4ZHKtLuQpGk
Azhagana Ratchasiye,A.R. Rahman;S. P. Balasubrahmanyam;Harini;G. V. Prakash,Mudhalvan (Original Motion Picture Soundtrack),164.9,6:10,1NPY0d4AN6U
"Vaan (From ""Kaatru Veliyidai"")",A.R. Rahman;Shashaa Tirupati,"Vaan (From ""Kaatru Veliyidai"")",151.222,4:15,DOfYwN6lFiM
Naane Varugiraen,A.R. Rahman;Shashaa Tirupati;Sathyaprakash,O Kadhal Kanmani (Original Motion Picture Soundtrack),149.951,6:05,Hp4wk9ptjCQ
Mannipaaya,A.R. Rahman;Shreya Ghoshal;Thamarai,Vinnaithaandi Varuvaayaa (Original Motion Picture Soundtrack),175.991,6:56,4eyk-zC8t5M
Adiye,A.R. Rahman;Sid Sriram;Maria Roe Vincent;Madhan Karky,Kadal (Original Motion Picture Soundtrack),45.989,5:01,HLmtqyeJHSw
"Ok Jaanu Title Track (From ""OK Jaanu"")",A.R. Rahman;Srinidhi Venkatesh,"Ok Jaanu Title Track (From ""OK Jaanu"")",159.977,3:26,QN507xqvG0w
Mazhai Kuruvi,A.R. Rahman;Vairamuthu,Chekka Chivantha Vaanam (Original Motion Picture Soundtrack),130.052,5:48,eXxoXHDZWXY
Devadhai,Aaryan Dinesh Kanagaratnam,,,5:31,_ftVX03r2as
Oh Baby Girl,Achu;Hemachandra Vedala,Maalai Pozhudhin Mayakathilaey (Original Motion Picture Soundtrack),156.918,3:46,e46x7RY9QGc
Showkali,Aditya Rao,,,4:39,uJK1yuC9qhk
Ilayanila Pozhigirathe (From “Payanangal Mudivathillai ”),Afsal,"Ilaya Nila Pozhigirathe, Vol. 1",160.07,4:45,LNuYDoRyF2Y
Mughaiyazhi,Anand Aravindakshan & Radhika,Boomerang (Original Motion Picture Soundtrack),,3:11,0vzWNIXieSI
Kaathadi,Anand Kashinath;Sublahshini,Kaathadi,135.106,3:23,kvik-fRe4qg
