artist,masterlist_tracks,playlist_tracks,gap_tracks
Kenny Beats,64,114,60
Four Tet,130,141,58
Alix Perez,68,77,56
Drake,301,192,56
USHER,24,54,52
Future,306,131,49
Mr. Carmack,95,119,47
Ivy Lab,144,153,44
Lil Uzi Vert,45,54,38
Deft,6,40,36
Synkro,20,39,36
Sonu Nigam,7,38,36
Young Thug,303,125,35
Gunna,199,99,34
Commodo,16,38,34
Mei Semones,11,44,33
Lil Baby,8,38,33
Floating Points,46,57,28
Flying Lotus,233,129,26
Rihanna,40,44,25
Nikki Nair,38,27,24
JAY-Z,76,46,24
Madlib,236,87,23
ICYTWAT,44,45,22
Khruangbin,77,63,22
Wizkid,40,27,22
Megan Thee Stallion,3,24,22
Gucci Mane,271,47,21
Lil Wayne,182,56,21
Burial,55,28,21
Caribou,72,40,21
Mndsgn,42,37,21
Beyoncé,79,38,21
The Weeknd,120,56,21
Lil Yachty,150,69,20
A.R. Rahman,84,92,20
21 Savage,49,41,20
Joy Orbison,22,25,18
Lone,46,31,18
Overmono,21,25,18
Don Toliver,20,23,18
J Dilla,126,73,17
(((O))),39,44,17
Skrillex,60,34,17
Chris Brown,24,25,17
Kanye West,254,90,16
NxWorries,262,109,16
El Michels Affair,2,16,15
Jorja Smith,19,29,15
Connan Mockasin,27,26,15
Fred again..,66,27,15
MF DOOM,216,50,14
Djrum,30,30,14
Hamdi,19,17,14
KAYTRANADA,87,68,14
Mala,70,19,14
James Blake,118,86,14
Tame Impala,75,78,14
Yussef Dayes,41,43,14
Thee Sacred Souls,28,22,14
Masego,11,15,14
Coldplay,111,38,14
Key Glock,87,27,14
Kodak Black,200,59,13
Logic1000,5,15,13
Mount Kimbie,43,19,13
Vegyn,131,19,13
Rochelle Jordan,23,19,13
Tom Misch,16,21,13
Jordan Rakei,14,15,13
Missy Elliott,23,22,13
Peggy Gou,2,14,13
ODESZA,91,42,12
Pearson Sound,10,12,12
Skee Mask,37,23,12
Erykah Badu,80,36,12
Stevie Wonder,156,46,12
V.I.V.E.K,31,30,12
Mach-Hommy,69,18,12
Juls,66,14,12
9th Wonder,117,19,12
Travis Scott,130,77,12
Ilaiyaraaja,24,44,12
SZA,88,44,12
Michael Jackson,62,23,12
Doja Cat,44,21,12
Bad Bunny,68,35,12
Aphex Twin,147,36,11
Interplanetary Criminal,9,15,11
SBTRKT,84,21,11
Villager,30,14,11
Kelela,66,28,11
Sam Gendel,59,26,11
Skinshape,30,17,11
Terrace Martin,35,17,11
Quavo,18,21,11
Burna Boy,28,20,11
Rema,31,19,11
Pi’erre Bourne,31,20,11
Blawan,3,11,11
The Marias,23,24,11
Freddie Gibbs,114,62,10
N.E.R.D,75,42,10
Flume,160,44,10
Nia Archives,21,15,10
Pangaea,8,11,10
PinkPantheress,81,50,10
Ternion Sound,35,22,10
TekLun,4,12,10
Monopoly,3,11,10
Charlotte Day Wilson,44,22,10
Snoh Aalegra,21,16,10
Denzel Curry,83,53,10
Clever Austin,41,26,10
Tems,20,13,10
Rich The Kid,44,20,10
Kokoroko,2,10,10
The Alchemist,276,63,9
Jamie xx,27,17,9
Machinedrum,156,73,9
Sammy Virji,53,24,9
Toro y Moi,126,59,9
Coki,11,11,9
Kiefer,29,11,9
Yashraj,5,11,9
Thievery Corporation,73,18,9
gum.mp3,15,13,9
Chris Lake,6,11,9
Miguel,17,17,9
Metro Boomin,110,47,9
Tyla,17,19,9
Amy Winehouse,28,23,9
2 Chainz,38,24,9
GloRilla,4,9,9
Young Nudy,95,25,9
Chance the Rapper,73,22,8
MIKE,149,41,8
Mac Miller,209,104,8
Smino,79,55,8
"Tyler, The Creator",155,69,8
Halogenix,10,26,8
Skream,39,15,8
Sukh Knight,22,13,8
Volor Flex,58,43,8
Steve Lacy,42,34,8
DJ Plead,9,11,8
Lianne La Havas,39,29,8
Mac DeMarco,266,49,8
OAFF,20,16,8
Savera,9,10,8
Diplo,3,8,8
Kendrick Lamar,149,110,8
Timbaland,44,19,8
KEY!,44,26,8
Ludacris,73,24,8
A$AP Rocky,134,61,7
Clams Casino,83,22,7
Bonobo,99,37,7
Cesco,12,10,7
Eprom,30,16,7
HOLLY,47,8,7
Hudson Mohawke,124,13,7
